account_id,customer_id,account_type,account_status,currency,opened_at,closed_at,home_country
ACC_000001,CUST_002866,current,active,USD,2020-07-30T00:44:02Z,,BR
ACC_000002,CUST_000962,current,active,USD,2022-08-29T07:52:25Z,,VG
ACC_000003,CUST_000927,current,active,USD,2022-11-24T22:14:56Z,,SG
ACC_000004,CUST_003924,savings,closed,USD,2024-06-21T20:58:46Z,2024-12-18T20:58:46Z,VG
ACC_000005,CUST_002263,current,active,USD,2024-08-31T18:19:52Z,,US
ACC_000006,CUST_002369,current,active,USD,2022-11-07T14:08:40Z,,GB
ACC_000007,CUST_000769,savings,active,USD,2021-06-26T10:12:40Z,,AU
ACC_000008,CUST_001309,current,active,USD,2020-12-04T09:43:07Z,,DE
ACC_000009,CUST_004183,savings,active,USD,2024-11-30T15:34:52Z,,US
ACC_000010,CUST_003231,current,active,USD,2022-03-10T18:14:29Z,,DE
ACC_000011,CUST_002953,current,dormant,USD,2020-06-07T01:58:25Z,,CA
ACC_000012,CUST_004251,current,active,USD,2024-10-22T15:17:57Z,,ZA
ACC_000013,CUST_003964,savings,dormant,USD,2022-12-12T23:49:19Z,,AE
ACC_000014,CUST_000212,wallet,dormant,USD,2022-03-12T13:58:10Z,,HK
ACC_000015,CUST_003629,savings,active,USD,2020-05-23T14:40:05Z,,US
ACC_000016,CUST_001400,business,active,USD,2021-07-29T06:29:42Z,,US
ACC_000017,CUST_002294,business,active,USD,2024-10-30T19:09:29Z,,AE
ACC_000018,CUST_003510,business,dormant,USD,2022-09-21T15:35:02Z,,ZA
ACC_000019,CUST_001127,wallet,active,USD,2023-04-18T17:23:57Z,,US
ACC_000020,CUST_004669,current,active,USD,2020-08-10T03:48:12Z,,ZA
ACC_000021,CUST_001521,savings,active,USD,2022-02-16T16:58:49Z,,SG
ACC_000022,CUST_003803,current,active,USD,2023-03-02T11:15:44Z,,BR
ACC_000023,CUST_004378,savings,active,USD,2021-04-02T14:31:47Z,,HK
ACC_000024,CUST_002084,business,active,USD,2022-06-01T02:28:14Z,,AU
ACC_000025,CUST_000113,business,active,USD,2024-06-14T08:18:45Z,,DE
ACC_000026,CUST_004590,savings,active,USD,2022-05-26T01:09:22Z,,GB
ACC_000027,CUST_001803,business,closed,USD,2020-03-08T12:26:13Z,2021-01-19T12:26:13Z,DE
ACC_000028,CUST_003683,current,active,USD,2021-04-04T06:21:52Z,,GB
ACC_000029,CUST_002707,business,active,USD,2023-12-26T00:24:16Z,,HK
ACC_000030,CUST_004609,current,active,USD,2020-09-10T22:10:57Z,,HK
ACC_000031,CUST_002942,savings,active,USD,2023-07-28T09:22:47Z,,HK
ACC_000032,CUST_003524,current,active,USD,2024-09-15T05:32:26Z,,AU
ACC_000033,CUST_002735,current,active,USD,2023-03-27T09:45:15Z,,SG
ACC_000034,CUST_002516,savings,active,USD,2021-05-22T14:26:42Z,,CA
ACC_000035,CUST_001717,savings,active,USD,2022-09-18T14:54:53Z,,HK
ACC_000036,CUST_004660,current,active,USD,2022-03-02T00:01:51Z,,PA
ACC_000037,CUST_002003,current,closed,USD,2025-03-18T04:21:01Z,2025-03-31T00:00:00Z,HK
ACC_000038,CUST_003413,savings,active,USD,2020-09-16T18:54:18Z,,VG
ACC_000039,CUST_000497,savings,active,USD,2022-09-29T03:54:36Z,,CA
ACC_000040,CUST_000509,current,active,USD,2020-01-28T03:06:28Z,,BR
ACC_000041,CUST_004856,business,dormant,USD,2021-03-15T12:33:24Z,,VG
ACC_000042,CUST_002906,current,active,USD,2022-06-17T05:02:28Z,,PA
ACC_000043,CUST_003651,savings,active,USD,2022-06-29T11:55:59Z,,DE
ACC_000044,CUST_001669,current,dormant,USD,2022-01-14T06:18:35Z,,DE
ACC_000045,CUST_004670,current,active,USD,2020-01-22T22:09:01Z,,AE
ACC_000046,CUST_000637,business,closed,USD,2022-06-16T02:55:21Z,2022-11-20T02:55:21Z,GB
ACC_000047,CUST_002363,current,dormant,USD,2022-02-26T02:39:08Z,,AU
ACC_000048,CUST_003317,business,active,USD,2021-11-13T19:41:25Z,,US
ACC_000049,CUST_001414,wallet,active,USD,2024-07-06T23:55:12Z,,VG
ACC_000050,CUST_003108,savings,active,USD,2021-10-23T20:46:29Z,,US
ACC_000051,CUST_001303,wallet,active,USD,2023-06-13T05:27:48Z,,CA
ACC_000052,CUST_000348,current,active,USD,2022-11-15T10:17:14Z,,GB
ACC_000053,CUST_001120,savings,active,USD,2024-12-03T18:47:11Z,,GB
ACC_000054,CUST_003686,current,active,USD,2024-03-31T08:53:33Z,,AU
ACC_000055,CUST_001736,current,active,USD,2022-08-03T11:11:23Z,,PA
ACC_000056,CUST_002543,current,active,USD,2020-12-12T02:55:12Z,,SG
ACC_000057,CUST_004137,current,active,USD,2021-08-11T23:46:19Z,,US
ACC_000058,CUST_002522,savings,active,USD,2020-10-29T19:10:23Z,,US
ACC_000059,CUST_003816,savings,active,USD,2020-11-14T20:51:17Z,,SG
ACC_000060,CUST_004235,current,active,USD,2023-09-17T08:02:54Z,,ZA
ACC_000061,CUST_001889,current,active,USD,2023-05-30T19:20:06Z,,DE
ACC_000062,CUST_001817,current,active,USD,2024-10-02T12:41:55Z,,CA
ACC_000063,CUST_001213,current,active,USD,2024-03-12T15:53:05Z,,GB
ACC_000064,CUST_002670,current,active,USD,2024-03-02T10:35:48Z,,DE
ACC_000065,CUST_001693,current,closed,USD,2023-06-04T22:58:50Z,2024-05-30T22:58:50Z,DE
ACC_000066,CUST_002804,savings,active,USD,2021-01-26T17:47:10Z,,US
