counterparty_id,counterparty_type,counterparty_name,country_code,institution_name,external_account_ref,risk_score
CP_000001,beneficiary,Synthetic Counterparty 000001,AU,Synthetic Institution 001,EXT-00000001,0.0
CP_000002,beneficiary,Synthetic Counterparty 000002,US,Synthetic Institution 002,EXT-00000002,47.33
CP_000003,bank,Synthetic Counterparty 000003,SG,Synthetic Institution 003,EXT-00000003,17.2
CP_000004,bank,Synthetic Counterparty 000004,ZA,Synthetic Institution 004,EXT-00000004,67.79
CP_000005,beneficiary,Synthetic Counterparty 000005,DE,Synthetic Institution 005,EXT-00000005,27.79
CP_000006,bank,Synthetic Counterparty 000006,AU,Synthetic Institution 006,EXT-00000006,23.77
CP_000007,bank,Synthetic Counterparty 000007,GB,Synthetic Institution 007,EXT-00000007,0.0
CP_000008,beneficiary,Synthetic Counterparty 000008,CA,Synthetic Institution 008,EXT-00000008,35.49
CP_000009,merchant,Synthetic Counterparty 000009,HK,Synthetic Institution 009,EXT-00000009,27.46
CP_000010,beneficiary,Synthetic Counterparty 000010,CA,Synthetic Institution 010,EXT-00000010,36.01
CP_000011,beneficiary,Synthetic Counterparty 000011,GB,Synthetic Institution 011,EXT-00000011,36.65
CP_000012,bank,Synthetic Counterparty 000012,SG,Synthetic Institution 012,EXT-00000012,22.21
CP_000013,exchange,Synthetic Counterparty 000013,HK,Synthetic Institution 013,EXT-00000013,42.2
CP_000014,beneficiary,Synthetic Counterparty 000014,PA,Synthetic Institution 014,EXT-00000014,37.5
CP_000015,wallet,Synthetic Counterparty 000015,VG,Synthetic Institution 015,EXT-00000015,64.82
CP_000016,beneficiary,Synthetic Counterparty 000016,BR,Synthetic Institution 016,EXT-00000016,51.86
CP_000017,bank,Synthetic Counterparty 000017,AE,Synthetic Institution 017,EXT-00000017,3.34
CP_000018,bank,Synthetic Counterparty 000018,AU,Synthetic Institution 018,EXT-00000018,46.79
CP_000019,beneficiary,Synthetic Counterparty 000019,AE,Synthetic Institution 019,EXT-00000019,32.61
CP_000020,merchant,Synthetic Counterparty 000020,CA,Synthetic Institution 020,EXT-00000020,18.84
CP_000021,merchant,Synthetic Counterparty 000021,SG,Synthetic Institution 021,EXT-00000021,37.32
CP_000022,merchant,Synthetic Counterparty 000022,US,Synthetic Institution 022,EXT-00000022,40.05
CP_000023,exchange,Synthetic Counterparty 000023,HK,Synthetic Institution 023,EXT-00000023,31.55
CP_000024,merchant,Synthetic Counterparty 000024,US,Synthetic Institution 024,EXT-00000024,38.49
CP_000025,exchange,Synthetic Counterparty 000025,HK,Synthetic Institution 025,EXT-00000025,94.22
CP_000026,merchant,Synthetic Counterparty 000026,DE,Synthetic Institution 001,EXT-00000026,46.51
CP_000027,merchant,Synthetic Counterparty 000027,AU,Synthetic Institution 002,EXT-00000027,43.7
CP_000028,merchant,Synthetic Counterparty 000028,VG,Synthetic Institution 003,EXT-00000028,49.85
CP_000029,merchant,Synthetic Counterparty 000029,CA,Synthetic Institution 004,EXT-00000029,34.07
CP_000030,merchant,Synthetic Counterparty 000030,SG,Synthetic Institution 005,EXT-00000030,45.05
CP_000031,bank,Synthetic Counterparty 000031,AU,Synthetic Institution 006,EXT-00000031,9.04
CP_000032,merchant,Synthetic Counterparty 000032,AE,Synthetic Institution 007,EXT-00000032,42.15
CP_000033,exchange,Synthetic Counterparty 000033,AU,Synthetic Institution 008,EXT-00000033,13.21
CP_000034,exchange,Synthetic Counterparty 000034,US,Synthetic Institution 009,EXT-00000034,47.93
CP_000035,beneficiary,Synthetic Counterparty 000035,GB,Synthetic Institution 010,EXT-00000035,31.81
CP_000036,wallet,Synthetic Counterparty 000036,HK,Synthetic Institution 011,EXT-00000036,31.34
CP_000037,merchant,Synthetic Counterparty 000037,GB,Synthetic Institution 012,EXT-00000037,41.36
CP_000038,merchant,Synthetic Counterparty 000038,US,Synthetic Institution 013,EXT-00000038,17.78
CP_000039,beneficiary,Synthetic Counterparty 000039,AE,Synthetic Institution 014,EXT-00000039,5.63
CP_000040,merchant,Synthetic Counterparty 000040,HK,Synthetic Institution 015,EXT-00000040,22.48
CP_000041,merchant,Synthetic Counterparty 000041,PA,Synthetic Institution 016,EXT-00000041,54.85
CP_000042,wallet,Synthetic Counterparty 000042,VG,Synthetic Institution 017,EXT-00000042,59.62
CP_000043,merchant,Synthetic Counterparty 000043,VG,Synthetic Institution 018,EXT-00000043,40.41
CP_000044,exchange,Synthetic Counterparty 000044,PA,Synthetic Institution 019,EXT-00000044,70.51
CP_000045,merchant,Synthetic Counterparty 000045,ZA,Synthetic Institution 020,EXT-00000045,25.13
CP_000046,merchant,Synthetic Counterparty 000046,AU,Synthetic Institution 021,EXT-00000046,36.65
CP_000047,wallet,Synthetic Counterparty 000047,GB,Synthetic Institution 022,EXT-00000047,28.55
CP_000048,exchange,Synthetic Counterparty 000048,ZA,Synthetic Institution 023,EXT-00000048,37.92
CP_000049,exchange,Synthetic Counterparty 000049,AU,Synthetic Institution 024,EXT-00000049,27.01
CP_000050,bank,Synthetic Counterparty 000050,GB,Synthetic Institution 025,EXT-00000050,30.88
CP_000051,merchant,Synthetic Counterparty 000051,US,Synthetic Institution 001,EXT-00000051,25.35
CP_000052,beneficiary,Synthetic Counterparty 000052,ZA,Synthetic Institution 002,EXT-00000052,52.12
CP_000053,merchant,Synthetic Counterparty 000053,AU,Synthetic Institution 003,EXT-00000053,64.19
CP_000054,bank,Synthetic Counterparty 000054,ZA,Synthetic Institution 004,EXT-00000054,25.5
CP_000055,merchant,Synthetic Counterparty 000055,GB,Synthetic Institution 005,EXT-00000055,49.15
CP_000056,merchant,Synthetic Counterparty 000056,PA,Synthetic Institution 006,EXT-00000056,66.5
CP_000057,exchange,Synthetic Counterparty 000057,AE,Synthetic Institution 007,EXT-00000057,32.61
CP_000058,beneficiary,Synthetic Counterparty 000058,CA,Synthetic Institution 008,EXT-00000058,23.46
CP_000059,beneficiary,Synthetic Counterparty 000059,ZA,Synthetic Institution 009,EXT-00000059,47.17
