customer_id,customer_type,customer_segment,jurisdiction,occupation,industry_code,customer_risk_rating,customer_risk_score,onboarded_at
CUST_000001,individual,retail,CA,Consultant,,low,18.69,2022-04-12T14:58:39Z
CUST_000002,individual,retail,AU,Retiree,,medium,41.18,2020-08-26T03:51:50Z
CUST_000003,individual,affluent,GB,Teacher,,low,29.78,2022-02-02T19:21:26Z
CUST_000004,business,small_business,SG,,4481,medium,41.94,2021-04-20T11:38:15Z
CUST_000005,individual,retail,VG,Consultant,,high,72.98,2022-12-11T12:18:35Z
CUST_000006,individual,retail,AU,Retiree,,medium,48.96,2023-02-20T21:59:10Z
CUST_000007,individual,retail,SG,Retiree,,low,33.43,2024-05-14T23:18:18Z
CUST_000008,individual,retail,GB,Consultant,,medium,51.2,2025-01-18T04:20:52Z
CUST_000009,individual,retail,CA,Teacher,,medium,44.39,2022-12-11T00:44:56Z
CUST_000010,individual,retail,CA,Retiree,,low,13.46,2023-09-21T21:03:41Z
CUST_000011,business,small_business,SG,,7225,low,15.43,2023-03-25T14:14:19Z
CUST_000012,business,corporate,BR,,5416,low,22.31,2020-11-04T07:39:42Z
CUST_000013,individual,retail,HK,Consultant,,low,38.12,2022-06-06T09:51:40Z
CUST_000014,individual,retail,US,Retiree,,medium,43.7,2024-09-10T21:18:52Z
CUST_000015,individual,retail,AE,Trader,,low,21.72,2020-04-27T17:30:43Z
CUST_000016,individual,retail,SG,Consultant,,low,13.92,2024-01-13T09:26:00Z
CUST_000017,individual,affluent,AE,Engineer,,medium,56.74,2023-10-10T10:19:41Z
CUST_000018,business,small_business,SG,,5416,medium,47.69,2024-04-09T12:39:39Z
CUST_000019,business,small_business,ZA,,5221,medium,52.65,2020-08-30T04:28:59Z
CUST_000020,individual,retail,PA,Consultant,,medium,69.29,2023-09-25T02:04:09Z
CUST_000021,individual,retail,AE,Trader,,low,11.04,2024-06-30T07:58:03Z
CUST_000022,business,small_business,VG,,4481,medium,56.63,2020-03-09T01:34:15Z
CUST_000023,individual,affluent,ZA,Teacher,,low,19.32,2020-04-06T20:45:05Z
CUST_000024,business,small_business,AU,,4481,low,27.76,2020-06-08T20:13:04Z
CUST_000025,business,small_business,VG,,5416,low,28.88,2020-08-26T18:44:06Z
CUST_000026,individual,retail,PA,Trader,,medium,51.22,2023-02-20T22:01:38Z
CUST_000027,individual,retail,ZA,Teacher,,medium,42.9,2025-01-13T01:55:47Z
CUST_000028,individual,retail,GB,Teacher,,low,31.88,2020-03-05T04:56:09Z
CUST_000029,individual,retail,PA,Consultant,,low,36.74,2024-01-13T16:57:21Z
CUST_000030,individual,affluent,HK,Trader,,low,17.61,2022-06-04T00:21:34Z
CUST_000031,individual,retail,VG,Consultant,,medium,58.47,2020-10-13T16:32:56Z
CUST_000032,individual,retail,VG,Retiree,,low,23.99,2023-01-19T14:36:13Z
CUST_000033,individual,retail,GB,Teacher,,low,0.0,2021-10-04T05:23:53Z
CUST_000034,individual,retail,HK,Trader,,medium,44.01,2023-03-02T13:30:45Z
CUST_000035,individual,retail,HK,Consultant,,medium,59.76,2023-07-08T14:52:15Z
CUST_000036,individual,retail,ZA,Engineer,,medium,41.89,2023-10-19T18:06:37Z
CUST_000037,individual,affluent,BR,Trader,,medium,54.6,2023-12-12T03:18:20Z
CUST_000038,individual,retail,ZA,Engineer,,medium,42.11,2021-06-10T01:27:39Z
CUST_000039,individual,retail,BR,Teacher,,medium,43.13,2023-10-24T09:52:47Z
CUST_000040,individual,affluent,CA,Retiree,,low,14.25,2020-02-29T05:13:02Z
CUST_000041,individual,retail,DE,Teacher,,low,13.55,2022-01-30T18:14:58Z
CUST_000042,individual,retail,ZA,Retiree,,medium,43.44,2020-02-02T00:54:03Z
CUST_000043,individual,retail,GB,Trader,,low,35.72,2024-07-15T04:44:42Z
CUST_000044,individual,retail,SG,Consultant,,medium,42.49,2024-09-01T01:40:12Z
CUST_000045,individual,retail,PA,Engineer,,medium,51.7,2022-11-06T22:56:42Z
CUST_000046,individual,affluent,AU,Retiree,,low,0.0,2020-03-26T03:04:19Z
CUST_000047,individual,retail,PA,Consultant,,high,78.52,2023-04-28T20:27:21Z
CUST_000048,business,corporate,GB,,4481,medium,65.16,2024-05-20T13:26:39Z
CUST_000049,individual,retail,HK,Engineer,,low,32.38,2023-08-31T09:44:03Z
CUST_000050,individual,retail,US,Engineer,,medium,49.25,2024-07-16T04:13:01Z
CUST_000051,individual,retail,VG,Engineer,,high,89.02,2021-10-22T00:41:20Z
CUST_000052,individual,retail,PA,Trader,,medium,60.53,2022-01-01T22:59:46Z
CUST_000053,individual,retail,AU,Teacher,,low,6.54,2022-12-27T13:58:46Z
CUST_000054,individual,retail,SG,Consultant,,low,35.54,2022-05-25T14:30:06Z
CUST_000055,individual,affluent,AU,Retiree,,low,6.76,2021-11-16T09:33:29Z
CUST_000056,business,corporate,VG,,5416,medium,53.51,2025-02-12T18:14:14Z
CUST_000057,individual,retail,PA,Consultant,,medium,55.26,2020-06-09T01:27:56Z
CUST_000058,individual,affluent,CA,Engineer,,medium,45.36,2020-05-24T16:03:02Z
CUST_000059,business,small_business,US,,5416,low,27.73,2024-05-22T17:29:19Z
CUST_000060,individual,retail,CA,Retiree,,low,34.29,2022-10-19T18:55:51Z
CUST_000061,business,corporate,DE,,4481,low,0.0,2023-05-26T11:16:09Z
CUST_000062,individual,retail,ZA,Consultant,,low,39.82,2021-08-17T00:23:06Z
CUST_000063,individual,retail,PA,Consultant,,medium,52.2,2022-01-07T08:01:45Z
CUST_000064,individual,retail,VG,Consultant,,medium,40.27,2023-06-26T16:16:39Z
CUST_000065,individual,retail,DE,Engineer,,low,26.6,2021-12-24T02:58:33Z
CUST_000066,individual,retail,ZA,Trader,,medium,62.76,2022-12-20T10:15:40Z
CUST_000067,individual,affluent,SG,Engineer,,medium,64.51,2024-02-24T09:10:18Z
CUST_000068,business,small_business,SG,,7225,low,1.98,2023-03-17T01:43:16Z
CUST_000069,business,corporate,PA,,6211,high,84.44,2023-09-06T07:38:07Z
