device_id,device_type,ip_address,ip_cluster,phone_hash,browser_fingerprint
DEV_000001,tablet,10.150.81.158,10.150.81.0/24,PHONE_HASH_000001_8879,BROWSER_FP_000001_311498
DEV_000002,mobile,10.223.82.91,10.223.82.0/24,PHONE_HASH_000002_7904,BROWSER_FP_000002_888398
DEV_000003,mobile,10.37.75.51,10.37.75.0/24,PHONE_HASH_000003_5874,BROWSER_FP_000003_139000
DEV_000004,desktop,10.158.60.221,10.158.60.0/24,PHONE_HASH_000004_5667,BROWSER_FP_000004_971619
DEV_000005,api,10.89.139.148,10.89.139.0/24,PHONE_HASH_000005_6244,BROWSER_FP_000005_379554
DEV_000006,mobile,10.115.82.243,10.115.82.0/24,PHONE_HASH_000006_8613,BROWSER_FP_000006_473925
DEV_000007,desktop,10.131.107.95,10.131.107.0/24,PHONE_HASH_000007_3800,BROWSER_FP_000007_749646
DEV_000008,desktop,10.2.93.40,10.2.93.0/24,PHONE_HASH_000008_8999,BROWSER_FP_000008_376008
DEV_000009,mobile,10.231.220.180,10.231.220.0/24,PHONE_HASH_000009_5221,BROWSER_FP_000009_174738
DEV_000010,desktop,10.163.105.171,10.163.105.0/24,PHONE_HASH_000010_4447,BROWSER_FP_000010_635523
DEV_000011,tablet,10.216.106.2,10.216.106.0/24,PHONE_HASH_000011_8565,BROWSER_FP_000011_502818
DEV_000012,mobile,10.135.59.51,10.135.59.0/24,PHONE_HASH_000012_3661,BROWSER_FP_000012_421671
DEV_000013,desktop,10.161.55.155,10.161.55.0/24,PHONE_HASH_000013_4968,BROWSER_FP_000013_448197
DEV_000014,mobile,10.130.28.136,10.130.28.0/24,PHONE_HASH_000014_3990,BROWSER_FP_000014_640354
DEV_000015,desktop,10.178.94.76,10.178.94.0/24,PHONE_HASH_000015_4891,BROWSER_FP_000015_306666
DEV_000016,desktop,10.108.20.248,10.108.20.0/24,PHONE_HASH_000016_6524,BROWSER_FP_000016_274441
DEV_000017,mobile,10.72.83.139,10.72.83.0/24,PHONE_HASH_000017_4119,BROWSER_FP_000017_155495
DEV_000018,mobile,10.96.4.108,10.96.4.0/24,PHONE_HASH_000018_9764,BROWSER_FP_000018_608146
DEV_000019,mobile,10.29.157.37,10.29.157.0/24,PHONE_HASH_000019_1471,BROWSER_FP_000019_165605
DEV_000020,mobile,10.11.131.158,10.11.131.0/24,PHONE_HASH_000020_9087,BROWSER_FP_000020_629758
DEV_000021,mobile,10.107.222.76,10.107.222.0/24,PHONE_HASH_000021_9512,BROWSER_FP_000021_292997
DEV_000022,tablet,10.115.250.98,10.115.250.0/24,PHONE_HASH_000022_3994,BROWSER_FP_000022_707296
DEV_000023,mobile,10.103.105.176,10.103.105.0/24,PHONE_HASH_000023_5734,BROWSER_FP_000023_212305
DEV_000024,mobile,10.242.60.245,10.242.60.0/24,PHONE_HASH_000024_2131,BROWSER_FP_000024_306448
DEV_000025,desktop,10.131.231.236,10.131.231.0/24,PHONE_HASH_000025_1943,BROWSER_FP_000025_824521
DEV_000026,mobile,10.180.68.45,10.180.68.0/24,PHONE_HASH_000026_4915,BROWSER_FP_000026_856317
DEV_000027,mobile,10.234.188.91,10.234.188.0/24,PHONE_HASH_000027_3235,BROWSER_FP_000027_102573
DEV_000028,desktop,10.64.57.99,10.64.57.0/24,PHONE_HASH_000028_6222,BROWSER_FP_000028_362285
DEV_000029,mobile,10.107.42.170,10.107.42.0/24,PHONE_HASH_000029_4928,BROWSER_FP_000029_216122
DEV_000030,desktop,10.6.90.241,10.6.90.0/24,PHONE_HASH_000030_6624,BROWSER_FP_000030_880260
DEV_000031,desktop,10.100.54.195,10.100.54.0/24,PHONE_HASH_000031_4833,BROWSER_FP_000031_125410
DEV_000032,tablet,10.112.162.75,10.112.162.0/24,PHONE_HASH_000032_8911,BROWSER_FP_000032_487347
DEV_000033,desktop,10.159.179.7,10.159.179.0/24,PHONE_HASH_000033_9519,BROWSER_FP_000033_443910
DEV_000034,api,10.209.97.155,10.209.97.0/24,PHONE_HASH_000034_4754,BROWSER_FP_000034_614677
DEV_000035,mobile,10.118.196.198,10.118.196.0/24,PHONE_HASH_000035_1101,BROWSER_FP_000035_235548
DEV_000036,desktop,10.165.138.196,10.165.138.0/24,PHONE_HASH_000036_3212,BROWSER_FP_000036_699615
DEV_000037,mobile,10.58.211.206,10.58.211.0/24,PHONE_HASH_000037_5140,BROWSER_FP_000037_900488
DEV_000038,mobile,10.245.196.197,10.245.196.0/24,PHONE_HASH_000038_6040,BROWSER_FP_000038_561901
DEV_000039,mobile,10.211.175.121,10.211.175.0/24,PHONE_HASH_000039_3483,BROWSER_FP_000039_952254
DEV_000040,mobile,10.49.130.206,10.49.130.0/24,PHONE_HASH_000040_5166,BROWSER_FP_000040_466103
DEV_000041,mobile,10.5.217.83,10.5.217.0/24,PHONE_HASH_000041_3122,BROWSER_FP_000041_278678
DEV_000042,mobile,10.54.15.67,10.54.15.0/24,PHONE_HASH_000042_3584,BROWSER_FP_000042_239967
DEV_000043,mobile,10.100.212.7,10.100.212.0/24,PHONE_HASH_000043_9482,BROWSER_FP_000043_827479
DEV_000044,mobile,10.39.160.180,10.39.160.0/24,PHONE_HASH_000044_3117,BROWSER_FP_000044_879349
DEV_000045,mobile,10.34.175.161,10.34.175.0/24,PHONE_HASH_000045_2643,BROWSER_FP_000045_802993
DEV_000046,api,10.101.17.52,10.101.17.0/24,PHONE_HASH_000046_3297,BROWSER_FP_000046_707718
DEV_000047,mobile,10.103.241.111,10.103.241.0/24,PHONE_HASH_000047_9872,BROWSER_FP_000047_134604
DEV_000048,mobile,10.149.181.226,10.149.181.0/24,PHONE_HASH_000048_1109,BROWSER_FP_000048_653709
DEV_000049,mobile,10.71.251.233,10.71.251.0/24,PHONE_HASH_000049_1168,BROWSER_FP_000049_386312
DEV_000050,mobile,10.109.241.190,10.109.241.0/24,PHONE_HASH_000050_3258,BROWSER_FP_000050_385711
DEV_000051,desktop,10.186.144.229,10.186.144.0/24,PHONE_HASH_000051_1060,BROWSER_FP_000051_742256
DEV_000052,mobile,10.101.40.146,10.101.40.0/24,PHONE_HASH_000052_7149,BROWSER_FP_000052_545666
DEV_000053,mobile,10.62.207.141,10.62.207.0/24,PHONE_HASH_000053_8006,BROWSER_FP_000053_178081
DEV_000054,mobile,10.195.125.92,10.195.125.0/24,PHONE_HASH_000054_1915,BROWSER_FP_000054_687847
DEV_000055,mobile,10.208.29.205,10.208.29.0/24,PHONE_HASH_000055_1755,BROWSER_FP_000055_199561
DEV_000056,desktop,10.47.96.65,10.47.96.0/24,PHONE_HASH_000056_8658,BROWSER_FP_000056_744375
DEV_000057,desktop,10.190.119.41,10.190.119.0/24,PHONE_HASH_000057_5387,BROWSER_FP_000057_902749
DEV_000058,mobile,10.243.75.65,10.243.75.0/24,PHONE_HASH_000058_3747,BROWSER_FP_000058_493848
DEV_000059,mobile,10.48.70.66,10.48.70.0/24,PHONE_HASH_000059_8583,BROWSER_FP_000059_357972
DEV_000060,mobile,10.67.180.240,10.67.180.0/24,PHONE_HASH_000060_6848,BROWSER_FP_000060_420050
DEV_000061,api,10.211.31.101,10.211.31.0/24,PHONE_HASH_000061_9004,BROWSER_FP_000061_799791
DEV_000062,desktop,10.176.84.55,10.176.84.0/24,PHONE_HASH_000062_4156,BROWSER_FP_000062_977768
DEV_000063,desktop,10.137.126.53,10.137.126.0/24,PHONE_HASH_000063_4721,BROWSER_FP_000063_848001
DEV_000064,mobile,10.253.50.171,10.253.50.0/24,PHONE_HASH_000064_4916,BROWSER_FP_000064_379886
DEV_000065,api,10.199.92.10,10.199.92.0/24,PHONE_HASH_000065_2172,BROWSER_FP_000065_476973
DEV_000066,mobile,10.87.202.238,10.87.202.0/24,PHONE_HASH_000066_2190,BROWSER_FP_000066_790851
DEV_000067,mobile,10.223.68.197,10.223.68.0/24,PHONE_HASH_000067_2684,BROWSER_FP_000067_557092
